"node1","node2","p.corr"
"Cre01.g000350","Cre01.g000750",-0.1771
"Cre01.g000950","Cre01.g001400",-0.1769
"Cre01.g001100","Cre01.g002050",-0.1766
"Cre01.g000400","Cre01.g000450",0.1762
"Cre01.g002203","Cre01.g002300",-0.1761
"Cre01.g000250","Cre01.g001350",-0.1759
"Cre01.g000400","Cre01.g002050",-0.1759
"Cre01.g001650","Cre01.g001950",-0.1757
"Cre01.g001600","Cre01.g002300",0.1752
"Cre01.g001501","Cre01.g002150",-0.1751
"Cre01.g000350","Cre01.g001600",0.1749
"Cre01.g002100","Cre01.g002150",0.1749
"Cre01.g000700","Cre01.g002050",0.1748
"Cre01.g000450","Cre01.g001350",-0.1745
"Cre01.g000200","Cre01.g002300",-0.1744
"Cre01.g000017","Cre01.g002250",-0.1737
"Cre01.g000950","Cre01.g002050",0.1736
"Cre01.g001983","Cre01.g002100",0.1736
"Cre01.g000150","Cre01.g001800",-0.1735
"Cre01.g000400","Cre01.g002150",-0.1733
"Cre01.g000900","Cre01.g001300",-0.1726
"Cre01.g000450","Cre01.g002050",-0.1724
"Cre01.g000700","Cre01.g002203",0.1717
"Cre01.g000250","Cre01.g001650",-0.1714
"Cre01.g000650","Cre01.g001400",-0.1713
"Cre01.g000800","Cre01.g001350",0.1711
"Cre01.g001300","Cre01.g001450",-0.1709
"Cre01.g000250","Cre01.g000500",0.1707
"Cre01.g000400","Cre01.g001983",0.1704
"Cre01.g001600","Cre01.g001800",-0.1703
"Cre01.g000950","Cre01.g002234",-0.1703
"Cre01.g001501","Cre01.g002201",0.1693
"Cre01.g001657","Cre01.g002201",0.1689
"Cre01.g001300","Cre01.g001600",-0.1682
"Cre01.g000750","Cre01.g001750",0.1672
"Cre01.g000600","Cre01.g000800",-0.166
"Cre01.g001300","Cre01.g001657",0.1656
"Cre01.g000500","Cre01.g001450",0.1643
"Cre01.g001100","Cre01.g001750",-0.1641
"Cre01.g000600","Cre01.g002300",0.1631
"Cre01.g000850","Cre01.g001300",-0.1628
"Cre01.g000050","Cre01.g000500",0.1625
"Cre01.g001664","Cre01.g002200",0.1625
"Cre01.g000450","Cre01.g002200",-0.1619
"Cre01.g001650","Cre01.g002250",-0.1618
"Cre01.g000100","Cre01.g001300",0.1613
"Cre01.g000100","Cre01.g000200",0.1612
"Cre01.g000200","Cre01.g000300",0.1598
"Cre01.g001450","Cre01.g001664",-0.1595
"Cre01.g001983","Cre01.g002201",0.1595
"Cre01.g000500","Cre01.g001250",0.1594
"Cre01.g001657","Cre01.g002250",-0.1588
"Cre01.g001200","Cre01.g001657",-0.1587
"Cre01.g000350","Cre01.g002100",0.1582
"Cre01.g000350","Cre01.g001450",-0.1576
"Cre01.g000150","Cre01.g000250",-0.1574
"Cre01.g000950","Cre01.g001950",-0.1574
"Cre01.g001600","Cre01.g002200",-0.1574
"Cre01.g000033","Cre01.g000400",-0.1564
"Cre01.g000017","Cre01.g001750",-0.1563
"Cre01.g001700","Cre01.g001800",-0.1559
"Cre01.g000600","Cre01.g002100",0.1557
"Cre01.g001350","Cre01.g001983",0.1554
"Cre01.g000350","Cre01.g002050",0.1552
"Cre01.g001501","Cre01.g001950",0.1548
"Cre01.g000150","Cre01.g002050",-0.1546
"Cre01.g000900","Cre01.g001650",-0.1538
"Cre01.g000850","Cre01.g002100",0.1537
"Cre01.g000350","Cre01.g002200",0.1527
"Cre01.g002200","Cre01.g002300",0.1527
"Cre01.g000100","Cre01.g001250",0.1523
"Cre01.g000900","Cre01.g001150",0.1522
"Cre01.g000800","Cre01.g000900",0.152
"Cre01.g000033","Cre01.g001200",0.1515
"Cre01.g000700","Cre01.g001350",-0.1511
"Cre01.g000017","Cre01.g000500",0.1506
"Cre01.g001200","Cre01.g002250",0.1506
"Cre01.g000600","Cre01.g001700",-0.1504
"Cre01.g000033","Cre01.g002150",0.15
"Cre01.g001200","Cre01.g001501",-0.1496
"Cre01.g000033","Cre01.g001657",-0.1488
"Cre01.g001678","Cre01.g001750",0.1476
"Cre01.g000850","Cre01.g002150",0.1464
"Cre01.g000900","Cre01.g001400",0.1462
"Cre01.g000100","Cre01.g000750",0.146
"Cre01.g001657","Cre01.g002234",-0.1459
"Cre01.g000300","Cre01.g002050",0.145
"Cre01.g001300","Cre01.g001750",0.1444
"Cre01.g001200","Cre01.g001600",0.1443
"Cre01.g001600","Cre01.g001950",-0.1428
"Cre01.g000300","Cre01.g001250",0.1423
"Cre01.g001450","Cre01.g002227",-0.1423
"Cre01.g000800","Cre01.g001501",-0.142
