fromNode	toNode	weight	direction	fromAltName	toAltName
Cre01.g051700	Cre01.g043000	0.193780777828904	undirected	Cre01.g051700	Cre01.g043000
Cre10.g422800	Cre07.g326650	0.410680742572993	undirected	Cre10.g422800	Cre07.g326650
Cre10.g430800	Cre06.g278182	0.457496444388664	undirected	Cre10.g430800	Cre06.g278182
Cre06.g275100	Cre11.g467591	0.415794192174661	undirected	Cre06.g275100	Cre11.g467591
Cre12.g497750	Cre02.g092500	0.214030549595168	undirected	Cre12.g497750	UPF1
Cre06.g263950	Cre06.g297450	0.234549464145359	undirected	Cre06.g263950	Cre06.g297450
Cre12.g506650	Cre12.g541750	0.241851782141428	undirected	Cre12.g506650	ZPD1
Cre07.g344050	Cre11.g467581	0.25799045245735	undirected	Cre07.g344050	Cre11.g467581
Cre13.g587000	Cre12.g486800	0.350677742176458	undirected	Cre13.g587000	Cre12.g486800
Cre08.g385800	Cre03.g172200	0.32243528112948	undirected	Cre08.g385800	Cre03.g172200
Cre09.g394400	Cre02.g084950	0.252614255516659	undirected	Cre09.g394400	GUK1
Cre07.g344050	Cre09.g390250	0.316333146100724	undirected	Cre07.g344050	Cre09.g390250
Cre03.g189400	Cre08.g370601	0.384461813871795	undirected	TSS2	Cre08.g370601
Cre02.g082100	Cre08.g375650	0.473899559685454	undirected	Cre02.g082100	Cre08.g375650
Cre12.g507650	Cre10.g428678	0.263446646177343	undirected	CDJ1	Cre10.g428678
Cre09.g403219	Cre17.g702950	0.416654161787512	undirected	RPB5	Cre17.g702950
Cre11.g467711	Cre12.g555000	0.29175766113396	undirected	Cre11.g467711	Cre12.g555000
Cre14.g633400	Cre09.g393800	0.454653543415705	undirected	PGA7	Cre09.g393800
Cre12.g532350	Cre03.g172700	0.312714388776597	undirected	CAV8	Cre03.g172700
Cre10.g439700	Cre03.g172950	0.406519702174661	undirected	CGL28	PUS21
Cre09.g390350	Cre07.g316450	0.150560847410192	undirected	Cre09.g390350	Cre07.g316450
Cre10.g441400	Cre09.g416850	0.487272771949994	undirected	NOP58	Cre09.g416850
Cre16.g685050	Cre08.g375650	0.438681908349739	undirected	LCI15	Cre08.g375650
Cre14.g614151	Cre06.g278169	0.440197083048198	undirected	Cre14.g614151	Cre06.g278169
Cre11.g467547	Cre11.g479900	0.247393011339443	undirected	Cre11.g467547	Cre11.g479900
Cre06.g298750	Cre13.g571400	0.176218081380292	undirected	AOT4	Cre13.g571400
Cre14.g633750	Cre15.g640800	0.48212794176102	undirected	IPB2	Cre15.g640800
Cre10.g459500	Cre10.g452800	0.277081015611119	undirected	NGB1	LCIB
Cre06.g283500	Cre16.g680850	0.434163515131611	undirected	Cre06.g283500	MDA1
Cre01.g063997	Cre01.g008350	0.462718511221699	undirected	Cre01.g063997	Cre01.g008350
Cre09.g417200	Cre15.g640502	0.341663045167226	undirected	Cre09.g417200	Cre15.g640502
Cre06.g256300	Cre06.g275350	0.352810725876738	undirected	Cre06.g256300	ROC40
Cre17.g734564	Cre02.g084600	0.460152598613879	undirected	MDH1	Cre02.g084600
Cre12.g489900	Cre06.g257000	0.22480096665171	undirected	CYG54	SULP3
