Gene_id,Version,Gene_names,Uniprot_id,TF
Cre09.g399030,C. reinhardtii v5.6,Cre09.g399030,Q70ZL8,
Cre11.g480150,C. reinhardtii v5.6,RPS14,A8J768,
Cre11.g467599,C. reinhardtii v5.6,Cre11.g467599,A8JA58,
Cre12.g489153,C. reinhardtii v5.6,RPL31,A0A2K3D279,
Cre04.g214503,C. reinhardtii v5.6,Cre04.g214503,A8J9T0,
Cre16.g661050,C. reinhardtii v5.6,RPL34,A8J8P4,
Cre16.g693700,C. reinhardtii v5.6,UBC9,A8JBJ3,
Cre03.g164600,C. reinhardtii v5.6,PMA3,A8IFK0,
Cre05.g234637,C. reinhardtii v5.6,Cre05.g234637,A8JE07,
Cre09.g391097,C. reinhardtii v5.6,RPL24,A0A2K3DE61,
Cre12.g485150,C. reinhardtii v5.6,GAP1,A8JHR9,
Cre07.g334550,C. reinhardtii v5.6,PSAO,A8JCL6,
Cre02.g105100,C. reinhardtii v5.6,Cre02.g105100,A0A2K3E2J5,
Cre11.g467569,C. reinhardtii v5.6,ATPD,A8JF15,
Cre09.g393358,C. reinhardtii v5.6,Cre09.g393358,A8J087,
Cre13.g603500,C. reinhardtii v5.6,Cre13.g603500,A0A2K3D193,
Cre06.g272650,C. reinhardtii v5.6,LHCA8,Q75VY7,
Cre07.g337100,C. reinhardtii v5.6,Cre07.g337100,A8JCG7,
Cre03.g146267,C. reinhardtii v5.6,Cre03.g146267,A0A2K3DVE0,C3H
Cre03.g200850,C. reinhardtii v5.6,Cre03.g200850,A8IXP0,
Cre07.g331900,C. reinhardtii v5.6,RPS13,A8IGY1,
Cre03.g144807,C. reinhardtii v5.6,MAS1,Q6X898,
Cre17.g725500,C. reinhardtii v5.6,Cre17.g725500,A8J6N2,
Cre09.g390467,C. reinhardtii v5.6,CGL66,A0A2K3DE53,
Cre12.g514500,C. reinhardtii v5.6,RPS11,A8JHC3,
Cre10.g420750,C. reinhardtii v5.6,RPL30,A8ICT1,
Cre12.g516200,C. reinhardtii v5.6,EFG2,A8JHX9,
Cre03.g213537,C. reinhardtii v5.6,Cre03.g213537,A8JBX6,
Cre17.g725200,C. reinhardtii v5.6,Cre17.g725200,A0A2K3CQM8,
Cre12.g512600,C. reinhardtii v5.6,RPL18,A8IKZ2,
